sex,age,guardian,traveltime,studytime,freetime,health,grade,count
F,18,mother,2,2,3,3,0,1
F,17,father,1,2,3,3,9,1
F,15,mother,1,2,3,3,12,1
F,15,mother,1,3,2,5,14,1
F,16,father,1,2,3,5,11,1
M,16,mother,1,2,4,5,12,1
M,16,mother,1,2,4,3,13,1
F,17,mother,2,2,1,1,10,1
M,15,mother,1,2,2,1,15,1
M,15,mother,1,2,5,5,12,1
F,15,mother,1,2,3,2,14,1
F,15,father,3,3,2,4,10,1
M,15,father,1,1,3,5,12,1
M,15,mother,2,2,4,3,12,1
M,15,other,1,3,5,3,14,1
F,16,mother,1,1,4,2,17,1
F,16,mother,1,3,2,2,13,1
F,16,mother,3,2,3,4,13,1
M,17,mother,1,1,5,5,8,1
M,16,father,1,1,1,5,12,1
M,15,mother,1,2,4,1,12,1
M,15,father,1,1,4,5,11,1
M,16,mother,1,2,5,5,12,1
M,16,mother,2,2,4,5,10,1
F,15,mother,1,3,3,5,10,1
F,16,mother,1,1,2,5,10,1
M,15,mother,1,1,2,5,11,1
M,15,mother,1,1,2,1,11,1
M,16,mother,1,2,3,5,12,1
M,16,mother,1,2,4,5,12,1
M,15,mother,1,2,4,5,10,1
M,15,mother,2,2,3,5,15,1
M,15,mother,1,2,5,5,13,1
M,15,mother,1,2,3,2,13,1
M,16,mother,1,1,4,5,12,1
F,15,father,2,1,5,5,11,1
M,15,mother,1,3,4,4,14,1
M,16,mother,2,3,4,5,13,1
F,15,mother,1,3,3,5,11,1
F,15,mother,1,1,3,2,14,1
F,16,mother,2,2,3,3,11,1
M,15,other,1,1,4,5,10,1
M,15,father,1,2,3,5,14,1
M,15,father,1,1,4,1,9,1
F,16,father,2,2,3,5,10,1
F,15,mother,1,2,2,5,10,1
F,16,mother,1,2,3,3,13,1
M,16,mother,1,4,2,2,17,1
M,15,mother,1,2,3,5,11,1
F,15,father,1,2,4,3,13,1
F,16,mother,3,2,3,4,14,1
F,15,mother,1,2,3,5,16,1
M,15,father,2,1,5,5,10,1
F,15,mother,1,1,3,5,13,1
F,15,mother,1,1,3,1,13,1
F,16,mother,1,2,3,2,12,1
F,15,mother,1,2,3,1,15,1
M,15,mother,1,2,2,5,15,1
M,15,father,1,2,3,5,14,1
F,16,mother,1,2,2,5,16,1
F,16,mother,1,2,4,4,17,1
F,16,father,4,1,5,5,10,1
F,16,father,1,2,4,1,13,1
F,16,mother,1,3,4,4,14,1
F,15,father,1,2,4,2,13,1
F,16,mother,3,2,4,1,16,1
M,15,mother,1,4,3,3,11,1
F,16,mother,1,4,3,5,10,1
F,15,mother,2,2,1,4,11,1
F,15,father,2,4,4,3,15,1
M,16,father,2,4,3,5,13,1
M,15,mother,1,4,3,3,11,1
F,15,mother,1,2,3,5,13,1
M,16,mother,1,1,3,5,13,1
F,16,mother,1,2,3,5,11,1
M,15,mother,1,2,3,5,11,1
M,15,mother,2,4,4,1,12,1
F,16,mother,1,4,2,3,13,1
M,17,mother,2,1,5,3,9,1
F,16,mother,1,2,4,3,12,1
M,15,father,1,1,2,3,11,1
M,15,mother,1,3,3,5,10,1
F,15,mother,1,2,4,5,12,1
M,15,mother,2,2,3,4,13,1
F,15,father,1,2,3,4,13,1
F,15,father,2,2,4,5,12,1
F,16,mother,1,2,3,2,13,1
F,15,mother,1,3,3,1,15,1
M,16,father,2,2,4,3,12,1
M,16,mother,1,2,1,5,9,1
F,16,mother,1,3,3,4,9,1
F,15,mother,1,1,5,1,14,1
F,16,father,1,2,3,2,12,1
F,16,mother,2,2,3,1,13,1
M,15,mother,1,4,3,4,11,1
F,15,mother,2,4,1,1,13,1
M,16,mother,2,1,3,4,9,1
F,16,mother,1,2,3,5,13,1
F,16,mother,1,1,3,1,12,1
F,16,mother,1,3,3,3,12,1
M,16,mother,1,1,5,4,9,1
M,16,father,1,3,4,4,16,1
M,15,mother,1,1,3,5,12,1
F,15,mother,2,2,3,2,11,1
M,15,mother,1,2,4,1,16,1
F,15,father,1,4,3,4,10,1
F,15,mother,1,4,1,3,10,1
M,16,father,1,3,3,5,13,1
M,15,father,4,4,3,1,12,1
F,16,mother,1,3,4,4,15,1
M,15,mother,1,1,5,4,13,1
F,16,father,1,3,1,2,11,1
F,16,mother,1,2,1,5,8,1
M,15,mother,1,1,5,3,18,1
M,15,mother,1,2,4,5,10,1
M,16,father,1,2,4,5,16,1
M,15,father,2,2,4,2,16,1
M,16,father,2,1,4,5,14,1
M,17,father,3,2,2,5,12,1
M,15,father,1,1,4,4,14,1
F,15,mother,1,2,2,1,14,1
M,15,father,1,4,5,5,14,1
F,16,father,2,2,2,5,14,1
M,16,mother,1,1,4,5,12,1
F,16,mother,1,2,4,5,12,1
M,15,father,1,1,5,5,9,1
F,15,mother,1,2,3,1,10,1
F,19,other,1,2,4,5,9,1
M,16,mother,1,1,5,4,14,1
M,16,mother,2,3,2,1,13,1
F,15,father,2,3,2,5,10,1
F,18,mother,1,2,4,5,10,1
F,17,mother,3,1,2,5,11,1
F,15,mother,3,1,3,4,11,1
F,17,father,1,1,4,5,13,1
F,16,father,1,1,2,5,15,1
M,16,mother,4,1,2,2,9,1
F,16,mother,1,1,3,5,13,1
M,15,mother,4,2,3,5,12,1
F,15,mother,1,3,3,5,13,1
M,17,mother,3,2,4,5,10,1
F,16,mother,4,2,1,3,14,1
M,18,mother,2,1,3,4,11,1
F,18,other,1,3,3,5,12,1
F,16,mother,2,1,3,1,12,1
F,16,other,2,1,3,5,9,1
M,16,mother,1,2,4,5,10,1
F,15,mother,2,1,3,5,13,1
F,15,mother,3,1,5,1,8,1
M,15,father,2,4,2,3,9,1
F,15,mother,1,2,3,1,9,1
M,16,mother,1,3,3,5,15,1
M,16,father,2,1,3,2,12,1
F,15,mother,1,3,2,5,13,1
F,16,mother,1,1,4,1,10,1
M,17,mother,1,1,4,5,9,1
F,15,father,1,2,4,5,12,1
F,15,mother,2,1,4,5,11,1
F,15,father,1,2,3,3,11,1
F,15,mother,1,2,3,5,13,1
F,15,father,1,2,3,1,11,1
M,16,mother,1,1,3,5,9,1
M,15,mother,4,1,5,5,12,1
M,18,mother,1,1,3,4,11,1
M,16,mother,1,1,4,5,9,1
F,15,other,2,3,2,3,13,1
M,19,mother,1,1,5,4,11,1
F,17,mother,1,1,2,4,13,1
M,15,mother,1,2,4,1,7,1
M,17,mother,1,1,2,5,9,1
F,18,mother,3,1,2,4,11,1
M,16,mother,3,1,2,3,12,1
M,16,father,1,2,5,5,10,1
M,16,mother,2,1,4,5,9,1
M,17,mother,2,1,3,5,8,1
M,17,mother,2,2,4,3,7,1
M,15,mother,2,1,4,5,8,1
M,16,father,1,1,3,2,9,1
M,17,mother,4,2,3,5,8,1
M,17,mother,2,1,5,2,8,1
M,16,father,1,2,3,4,9,1
F,16,father,1,2,2,3,17,1
F,16,mother,1,2,1,4,12,1
F,16,mother,1,2,4,3,16,1
M,16,father,3,1,4,2,9,1
M,16,mother,2,2,3,3,16,1
M,17,mother,1,2,4,5,11,1
F,16,mother,1,2,3,3,14,1
F,16,mother,2,2,4,4,14,1
M,17,mother,2,2,4,4,10,1
F,16,mother,2,2,4,5,13,1
M,17,father,1,2,3,4,11,1
M,16,mother,1,1,3,3,10,1
M,17,mother,1,2,2,2,11,1
M,16,mother,1,2,4,3,11,1
M,16,mother,1,2,2,3,11,1
F,17,father,1,2,4,5,17,1
F,17,mother,1,2,3,1,14,1
F,16,mother,1,2,2,1,14,1
M,17,mother,1,2,3,4,11,1
M,16,mother,1,1,3,3,10,1
M,16,mother,1,2,2,5,13,1
F,17,mother,1,2,3,3,12,1
M,17,mother,1,2,1,3,9,1
F,16,mother,1,2,3,2,12,1
F,17,mother,1,2,3,3,12,1
M,17,other,2,2,4,5,10,1
M,16,mother,1,1,3,5,11,1
M,16,father,2,1,3,3,13,1
F,17,father,1,2,3,5,14,1
M,17,mother,1,1,2,5,13,1
M,16,father,3,1,3,3,10,1
F,17,mother,2,1,2,2,14,1
F,16,mother,1,2,5,3,11,1
F,16,mother,1,2,3,2,14,1
F,16,mother,1,2,4,4,11,1
F,17,mother,1,2,4,1,14,1
F,17,mother,1,1,3,3,13,1
F,16,mother,2,4,3,5,13,1
F,17,mother,1,3,4,5,8,1
F,16,mother,1,2,3,4,11,1
F,16,mother,1,2,3,1,14,1
F,16,mother,2,1,3,5,12,1
F,17,mother,2,3,4,4,11,1
F,19,other,1,4,3,3,12,1
M,17,mother,1,2,3,3,13,1
F,16,mother,1,2,3,4,13,1
M,18,mother,1,2,4,5,12,1
F,17,mother,1,1,2,3,12,1
F,17,mother,2,2,4,1,14,1
F,17,mother,1,2,4,1,11,1
M,18,father,1,2,2,4,10,1
F,17,father,2,1,3,3,12,1
F,17,mother,1,3,3,4,12,1
F,17,mother,2,2,2,5,11,1
F,17,mother,1,3,3,5,12,1
F,16,mother,1,2,3,3,13,1
M,18,mother,2,2,3,4,10,1
F,16,mother,1,3,3,5,15,1
F,18,mother,1,2,3,4,8,1
F,17,mother,1,2,3,3,17,1
M,17,father,1,2,3,3,10,1
M,18,mother,4,2,3,3,9,1
F,17,mother,2,3,2,3,15,1
F,17,father,1,2,2,3,14,1
M,17,father,2,2,5,1,12,1
M,17,mother,1,2,5,2,13,1
M,16,father,1,2,2,1,13,1
M,16,mother,2,2,4,5,9,1
M,16,mother,2,3,3,2,12,1
M,17,father,1,2,4,4,16,1
F,16,mother,1,1,5,5,9,1
F,16,mother,1,2,3,5,14,1
F,18,mother,2,2,3,3,10,1
F,18,mother,1,2,3,5,9,1
F,18,mother,2,1,1,3,8,1
M,18,other,1,1,4,1,7,1
M,17,mother,1,1,2,5,10,1
F,17,father,1,2,4,3,14,1
F,17,mother,1,3,3,4,11,1
F,16,mother,1,1,3,5,12,1
F,17,mother,3,2,1,3,13,1
F,17,other,4,1,5,5,9,1
M,18,father,1,2,5,2,8,1
F,17,mother,1,1,1,1,11,1
F,17,mother,2,3,3,5,15,1
F,17,mother,1,2,3,4,15,1
M,17,mother,2,2,5,5,15,1
M,17,mother,2,2,3,4,12,1
M,16,mother,1,1,4,3,14,1
M,16,mother,1,1,3,5,14,1
F,17,mother,1,2,3,5,11,1
M,17,father,2,3,3,1,13,1
F,17,mother,2,3,2,5,11,1
F,17,mother,1,2,3,4,10,1
F,18,other,2,3,4,3,12,1
M,16,mother,3,1,3,4,15,1
F,17,father,1,2,3,5,11,1
M,17,father,2,1,2,2,9,1
M,22,mother,1,1,4,1,7,1
M,18,mother,1,2,3,5,10,1
M,16,mother,1,1,3,5,11,1
M,18,mother,2,1,4,5,7,1
M,16,other,3,2,3,2,9,1
M,18,mother,1,1,2,5,7,1
M,16,mother,2,1,3,3,14,1
M,17,mother,1,1,4,5,12,1
M,17,mother,2,1,4,5,9,1
F,18,mother,1,2,3,5,12,1
F,17,mother,1,4,2,4,14,1
F,19,mother,1,2,3,5,10,1
M,18,mother,3,2,4,5,11,1
F,17,mother,1,3,3,5,11,1
F,18,mother,1,3,4,3,11,1
F,18,mother,1,2,2,5,11,1
M,19,mother,1,2,3,1,11,1
M,18,mother,1,2,2,4,16,1
M,17,mother,2,1,2,4,9,1
F,17,father,1,4,4,2,10,1
F,20,other,2,2,2,2,10,1
F,18,father,1,2,1,2,15,1
M,18,mother,1,2,3,3,10,1
M,18,mother,1,3,3,3,10,1
F,17,mother,1,3,2,4,15,1
F,18,mother,1,3,3,3,11,1
M,17,father,2,1,4,4,8,1
M,18,mother,2,2,2,1,15,1
M,17,mother,1,2,4,5,11,1
F,18,mother,2,2,3,4,10,1
M,18,father,1,2,4,5,10,1
F,18,mother,2,2,3,3,8,1
F,19,other,1,2,3,5,11,1
F,18,father,1,4,5,2,16,1
F,18,mother,2,2,4,3,13,1
M,17,mother,1,2,5,1,16,1
F,18,mother,1,2,2,1,14,1
F,17,mother,2,2,3,1,15,1
F,17,mother,2,2,4,5,12,1
F,18,mother,2,2,1,5,12,1
M,18,mother,2,1,2,3,11,1
F,18,father,1,2,4,4,14,1
F,17,father,3,3,2,1,13,1
F,19,father,1,2,3,3,9,1
M,18,mother,2,1,2,1,10,1
M,18,other,2,1,4,4,10,1
M,17,mother,2,1,5,5,11,1
M,17,mother,1,1,4,3,13,1
F,18,mother,2,4,2,3,17,1
F,18,mother,2,2,4,4,12,1
F,17,mother,1,2,4,5,12,1
F,18,mother,2,2,3,5,12,1
M,17,father,1,2,3,4,12,1
F,18,mother,1,3,3,2,18,1
F,17,mother,1,3,3,3,13,1
M,18,mother,1,3,2,2,14,1
M,18,mother,1,2,4,2,17,1
M,18,mother,1,2,3,5,15,1
F,17,mother,1,3,2,3,17,1
F,17,mother,2,4,1,3,18,1
M,18,mother,2,3,4,4,14,1
M,17,mother,1,1,4,5,14,1
F,19,other,2,2,3,2,14,1
F,18,other,2,2,4,2,13,1
F,18,father,1,4,3,3,16,1
M,18,mother,1,1,4,1,18,1
F,18,mother,1,2,2,4,14,1
M,17,father,2,1,1,5,12,1
F,17,mother,2,3,3,5,7,1
F,17,mother,2,3,3,3,16,1
F,17,father,1,4,2,5,18,1
M,19,mother,2,3,3,5,9,1
M,20,other,1,1,5,5,14,1
M,19,father,1,2,5,5,10,1
F,18,mother,1,2,4,5,10,1
F,18,mother,2,2,3,1,12,1
F,17,father,2,2,2,3,11,1
F,17,mother,1,1,4,5,15,1
F,18,mother,1,3,3,5,14,1
F,18,mother,2,1,2,1,12,1
F,17,father,1,3,3,5,15,1
F,18,father,1,2,1,3,11,1
M,19,mother,2,2,4,1,11,1
F,18,mother,1,2,4,5,12,1
F,18,mother,1,1,4,1,11,1
F,17,mother,1,1,3,5,14,1
F,17,mother,1,2,2,5,15,1
F,17,mother,1,2,3,5,12,1
F,17,father,1,2,2,2,11,1
M,18,father,1,1,2,5,8,1
F,19,other,3,3,5,5,10,1
F,19,other,3,2,3,4,8,1
F,18,mother,1,1,3,5,10,1
F,17,mother,1,2,2,3,14,1
F,17,mother,1,3,3,3,11,1
F,17,father,1,3,4,5,17,1
F,17,father,2,3,3,2,14,1
F,18,mother,2,3,5,2,14,1
M,18,mother,1,3,3,3,13,1
M,17,mother,1,1,3,5,17,1
M,17,mother,4,1,4,4,11,1
F,17,mother,1,3,4,4,13,1
F,17,mother,2,3,3,4,15,1
F,17,mother,1,1,2,5,11,1
M,18,mother,1,4,5,5,11,1
M,19,other,1,1,3,5,11,1
F,18,mother,4,2,2,2,10,1
F,17,father,1,3,4,5,15,1
M,18,mother,1,1,4,5,15,1
F,18,mother,1,2,3,4,10,1
F,18,other,1,2,3,2,10,1
F,18,mother,2,4,4,4,14,1
F,17,mother,1,3,4,5,11,1
F,17,mother,1,2,3,2,12,1
F,18,mother,1,4,3,1,14,1
F,17,mother,1,2,3,2,14,1
M,18,father,1,2,3,2,12,1
M,18,mother,1,2,3,5,16,1
F,17,father,1,2,3,4,10,1
F,18,mother,1,3,3,3,11,1
F,18,mother,1,3,4,1,14,1
M,18,mother,1,3,3,4,15,1
M,18,mother,1,3,4,5,14,1
F,17,mother,1,3,4,4,11,1
F,17,mother,2,2,3,1,12,1
F,17,mother,1,2,3,4,12,1
F,19,other,2,1,2,5,10,1
F,17,mother,1,1,1,3,10,1
F,21,other,1,3,3,5,9,1
M,18,mother,1,2,4,3,9,1
M,18,other,1,2,3,2,13,1
F,17,mother,1,2,3,4,13,1
M,17,mother,1,3,4,4,12,1
F,18,mother,1,2,2,3,14,1
M,21,other,2,2,3,4,9,1
F,20,other,2,3,2,3,11,1
F,19,other,1,1,2,5,9,1
M,17,mother,1,2,4,5,16,1
F,18,father,1,3,3,2,14,1
M,18,father,1,1,1,4,13,1
M,19,mother,1,1,3,4,7,1
F,18,mother,2,2,1,4,14,1
F,20,mother,2,1,3,5,8,1
F,18,mother,1,2,1,1,10,1
F,16,father,2,1,3,5,10,1
F,16,mother,2,2,4,5,12,1
F,15,mother,1,1,1,2,10,1
F,15,mother,2,1,4,5,10,1
F,16,mother,2,2,5,5,16,1
F,15,mother,2,1,3,1,6,1
M,16,mother,1,2,3,2,10,1
M,16,mother,1,3,4,5,10,1
F,17,father,1,2,5,5,10,1
F,17,father,1,1,4,5,6,1
F,15,mother,2,1,5,5,13,1
F,16,mother,2,4,2,1,10,1
F,15,father,2,2,4,4,10,1
F,15,mother,2,1,4,2,6,1
F,16,mother,2,1,2,2,12,1
F,17,mother,2,1,5,3,10,1
F,15,father,2,1,1,4,14,1
M,16,mother,2,2,4,3,7,1
M,17,mother,1,2,4,5,8,1
M,15,father,1,2,3,2,12,1
M,15,father,1,2,3,2,7,1
M,16,mother,3,2,4,5,9,1
M,15,mother,4,2,4,4,7,1
M,15,father,1,2,3,5,11,1
M,17,mother,3,1,5,3,8,1
F,16,mother,2,3,2,4,16,1
F,15,mother,2,1,1,1,11,1
F,16,mother,3,2,5,1,15,1
M,16,father,2,2,3,5,10,1
F,16,mother,3,2,4,4,9,1
F,16,mother,1,3,3,4,10,1
F,16,mother,1,3,3,4,9,1
F,15,mother,1,2,4,2,9,1
F,16,father,1,2,4,2,13,1
M,17,mother,1,1,5,3,10,1
F,16,father,4,4,3,1,13,1
F,16,father,4,3,4,5,10,1
F,15,father,2,2,3,2,11,1
F,16,mother,2,1,2,2,13,1
F,15,father,3,2,2,2,13,1
F,15,father,1,3,4,5,14,1
M,16,father,2,1,4,5,11,1
F,18,father,1,2,4,5,9,1
M,15,mother,2,1,2,4,10,1
F,16,father,3,2,3,2,14,1
M,15,mother,3,1,3,4,13,1
M,16,father,1,2,3,3,13,1
F,15,mother,1,2,5,1,13,1
F,16,mother,2,2,4,5,12,1
F,16,father,3,1,3,4,14,1
M,16,mother,2,1,4,4,10,1
M,15,father,3,1,2,3,10,1
F,15,mother,2,3,3,4,12,1
F,16,mother,1,1,4,5,10,1
M,15,father,2,1,3,3,12,1
F,16,father,2,2,4,1,7,1
F,17,mother,1,1,5,5,9,1
F,19,other,1,1,4,2,9,1
F,17,mother,3,1,5,3,9,1
F,15,mother,2,1,2,4,9,1
F,16,father,3,2,4,1,9,1
F,16,mother,1,1,3,1,7,1
F,17,mother,2,2,3,4,11,1
F,16,father,1,1,4,3,9,1
F,18,other,2,3,3,2,7,1
F,19,mother,1,3,3,3,7,1
M,18,mother,2,1,4,4,8,1
F,18,mother,2,1,2,2,9,1
F,19,other,2,2,1,1,7,1
F,16,mother,1,2,3,3,8,1
F,17,father,2,1,4,5,9,1
F,16,mother,1,2,4,3,8,1
F,16,mother,1,1,5,4,14,1
F,16,mother,1,1,4,4,14,1
M,17,mother,2,4,4,5,10,1
F,16,mother,1,2,3,1,14,1
F,16,mother,1,1,2,5,17,1
M,17,father,1,1,3,1,6,1
M,16,father,1,1,2,5,14,1
M,17,mother,3,4,3,3,10,1
F,16,other,1,4,2,5,14,1
F,19,mother,1,3,4,1,12,1
F,17,mother,2,1,4,5,11,1
F,20,mother,2,2,3,3,11,1
F,17,father,1,3,3,3,11,1
M,17,mother,3,1,4,5,10,1
F,16,father,3,2,3,1,16,1
F,17,mother,2,2,3,1,15,1
F,17,mother,2,2,4,4,11,1
F,18,mother,1,2,3,5,7,1
F,16,mother,1,1,1,1,8,1
F,16,mother,1,1,1,3,7,1
F,18,mother,2,2,3,3,9,1
F,16,father,1,2,3,2,14,1
F,16,mother,2,1,4,2,14,1
F,18,father,1,2,3,1,8,1
M,16,mother,2,2,2,2,8,1
F,16,mother,3,2,3,5,6,1
F,16,mother,2,2,3,2,8,1
F,16,mother,1,2,3,3,8,1
M,18,mother,1,4,5,5,5,1
F,16,mother,3,2,2,2,7,1
M,17,mother,1,3,4,5,15,1
F,17,mother,1,1,2,5,13,1
M,16,mother,4,3,1,3,10,1
F,17,mother,1,1,1,5,9,1
F,16,father,2,1,1,5,11,1
M,17,mother,1,1,1,3,7,1
M,17,mother,3,2,1,1,10,1
M,16,mother,2,2,2,5,9,1
F,16,mother,1,2,2,3,14,1
M,16,father,1,1,1,5,11,1
M,15,mother,3,2,5,5,9,1
M,15,mother,3,4,4,5,13,1
M,15,mother,1,1,3,5,12,1
F,16,mother,1,3,3,5,11,1
F,16,mother,2,2,2,1,9,1
F,17,mother,2,1,3,1,9,1
F,17,mother,2,2,1,5,11,1
F,16,mother,2,3,3,5,10,1
M,17,father,3,1,3,5,9,1
M,17,father,2,1,1,5,12,1
M,17,mother,1,2,4,5,8,1
F,17,father,1,2,2,5,13,1
M,16,father,1,1,1,2,10,1
F,17,mother,1,2,5,3,11,1
F,17,mother,2,2,3,5,17,1
M,16,father,2,2,1,5,12,1
M,17,father,2,2,1,1,13,1
M,19,mother,1,2,4,4,9,1
M,17,mother,1,1,1,5,11,1
F,17,father,2,1,5,4,10,1
F,16,father,1,3,3,3,13,1
M,16,mother,1,1,4,5,9,1
F,17,mother,2,2,4,5,7,1
M,17,mother,2,1,5,5,8,1
M,18,other,3,1,3,4,12,1
M,17,mother,2,1,5,2,10,1
M,18,mother,2,2,3,5,10,1
F,16,father,1,2,4,1,11,1
M,17,mother,1,1,2,5,7,1
M,16,father,2,1,5,5,11,1
M,16,mother,2,1,5,5,10,1
M,18,other,2,1,3,5,9,1
M,18,mother,1,1,3,5,4,1
M,19,mother,2,1,2,3,6,1
M,18,mother,1,2,4,3,4,1
M,16,mother,2,1,4,4,7,1
M,19,other,2,1,4,5,8,1
F,16,mother,2,2,5,1,5,1
F,17,mother,1,1,3,5,7,1
M,20,other,2,1,4,4,8,1
F,18,mother,1,1,4,2,10,1
M,18,mother,2,1,5,5,9,1
M,19,other,3,2,4,2,10,1
M,17,mother,2,2,5,3,8,1
M,18,mother,1,1,3,3,9,1
M,19,other,3,1,4,5,8,1
F,18,mother,2,2,3,5,6,1
F,19,mother,1,1,4,5,6,1
F,18,mother,2,1,5,3,8,1
F,17,mother,2,1,4,5,10,1
F,17,other,2,3,2,3,8,1
F,17,mother,1,2,5,5,8,1
F,18,mother,1,2,3,4,7,1
F,17,mother,1,1,2,5,8,1
F,17,father,1,1,5,3,7,1
F,18,mother,3,2,4,5,7,1
F,18,father,2,2,3,1,12,1
F,17,mother,2,1,4,4,11,1
F,18,mother,2,2,4,4,12,1
F,18,mother,2,2,3,1,18,1
M,18,mother,1,1,4,5,17,1
F,17,mother,2,2,3,4,17,1
F,18,mother,3,2,3,4,9,1
M,18,mother,2,1,1,1,10,1
M,18,mother,3,1,5,1,12,1
M,17,father,3,1,2,4,12,1
F,18,mother,2,2,3,2,8,1
F,18,father,2,3,4,3,11,1
F,18,mother,1,2,3,5,5,1
F,18,mother,3,2,4,2,9,1
F,19,father,2,1,5,2,5,1
F,17,father,2,4,2,5,18,1
F,17,mother,2,2,3,2,11,1
F,18,mother,1,2,2,3,8,1
F,18,father,2,2,1,4,11,1
F,19,other,2,2,5,1,8,1
F,18,mother,2,3,2,4,14,1
M,17,mother,2,2,5,2,10,1
F,18,father,1,2,3,5,10,1
F,17,father,2,2,3,5,12,1
F,17,mother,2,2,2,5,15,1
M,18,father,2,1,3,3,14,1
F,18,father,2,3,3,4,19,1
F,18,mother,3,2,3,5,16,1
F,18,mother,2,2,3,3,13,1
F,17,mother,1,2,3,1,15,1
F,17,father,2,2,2,3,13,1
M,18,mother,2,2,3,3,8,1
M,18,mother,2,3,2,5,15,1
F,17,mother,3,1,2,1,8,1
F,18,father,2,1,2,4,10,1
F,18,father,3,2,2,5,7,1
M,18,father,3,1,3,3,9,1
F,17,mother,1,3,4,3,10,1
F,17,mother,1,1,5,1,7,1
F,18,mother,2,3,4,1,15,1
F,18,mother,4,3,3,4,10,1
F,19,other,2,2,3,3,7,1
F,18,mother,1,2,4,2,13,1
F,18,mother,1,2,1,1,16,1
F,17,mother,1,2,5,1,8,1
M,18,father,1,2,2,2,17,1
M,18,mother,2,1,4,5,7,1
M,17,father,2,2,4,3,14,1
M,19,mother,2,1,3,5,5,1
M,18,father,2,1,4,3,7,1
F,18,mother,2,3,3,4,14,1
F,17,mother,2,2,5,1,6,1
F,18,mother,3,1,4,5,7,1
F,19,mother,1,3,4,5,10,1
F,18,mother,1,2,3,1,15,1
F,18,mother,2,2,1,5,11,1
M,17,mother,2,1,4,2,10,1
M,18,mother,3,1,4,5,10,1
